url,universal_product_code,title,price_including_tax,price_excluding_tax,number_available,product_description,category,review_rating,image_url
"('http://books.toscrape.com/catalogue/sophies-world_966/index.html',)","(<tr>
<th>UPC</th><td>6be3beb0793a53e7</td>
</tr>,)","(<title>
    Sophie's World | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£15.94</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£15.94</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (18 available)</td>
</tr>,)","<meta content=""
    A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophie’s World has fired the imagination of readers all over the world, with more than twenty million copies in print.One day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: “Who are you?” and “Where A page-turning novel that is also an exploration of the great philosophical concepts of Western thought, Sophie’s World has fired the imagination of readers all over the world, with more than twenty million copies in print.One day fourteen-year-old Sophie Amundsen comes home from school to find in her mailbox two notes, with one question on each: “Who are you?” and “Where does the world come from?” From that irresistible beginning, Sophie becomes obsessed with questions that take her far beyond what she knows of her Norwegian village. Through those letters, she enrolls in a kind of correspondence course, covering Socrates to Sartre, with a mysterious philosopher, while receiving letters addressed to another girl. Who is Hilde? And why does her mail keep turning up? To unravel this riddle, Sophie must use the philosophy she is learning—but the truth turns out to be far more complicated than she could have imagined. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating Five"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/sophies-world_966/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/sophies-world_966/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Sophie's World"" src=""../../media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg""/>"
"('http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html',)","(<tr>
<th>UPC</th><td>bd261725b99f5983</td>
</tr>,)","(<title>
    The Death of Humanity: and the Case for Life | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£58.11</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£58.11</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (16 available)</td>
</tr>,)","<meta content=""
    Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia and abortion-on-demand, many are losing faith in the simple value of human life. To the disillusioned, human beings are a cosmic accident whose intrinsic value is worth no more than other animals.The Death of Humanity explores our culture's declining respe Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia and abortion-on-demand, many are losing faith in the simple value of human life. To the disillusioned, human beings are a cosmic accident whose intrinsic value is worth no more than other animals.The Death of Humanity explores our culture's declining respect for the sanctity of human life, drawing on philosophy and history to reveal the dark road ahead for society if we lose our faith in human life. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/the-death-of-humanity-and-the-case-for-life_932/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/the-death-of-humanity-and-the-case-for-life_932/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""The Death of Humanity: and the Case for Life"" src=""../../media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg""/>"
"('http://books.toscrape.com/catalogue/the-stranger_861/index.html',)","(<tr>
<th>UPC</th><td>f5a92cff83897d48</td>
</tr>,)","(<title>
    The Stranger | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£17.44</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£17.44</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (15 available)</td>
</tr>,)","<meta content='
    This is an alternate cover edition for ISBN 0679720200.Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd."" First published in English in 1946; now in a new translation by Matthew Ward.
' name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating Four"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/the-stranger_861/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/the-stranger_861/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""The Stranger"" src=""../../media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg""/>"
"('http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html',)","(<tr>
<th>UPC</th><td>d56d0710668bb39c</td>
</tr>,)","(<title>
    Proofs of God: Classical Arguments from Tertullian to Barth | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£54.21</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£54.21</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (8 available)</td>
</tr>,)","<meta content=""
    Leading theologian Matthew Levering presents a thoroughgoing critical survey of the proofs of God's existence for readers interested in traditional Christian responses to the problem of atheism. Beginning with Tertullian and ending with Karl Barth, Levering covers twenty-one theologians and philosophers from the early church to the modern period, examining how they answere Leading theologian Matthew Levering presents a thoroughgoing critical survey of the proofs of God's existence for readers interested in traditional Christian responses to the problem of atheism. Beginning with Tertullian and ending with Karl Barth, Levering covers twenty-one theologians and philosophers from the early church to the modern period, examining how they answered the critics of their day. He also shows the relevance of the classical arguments to contemporary debates and challenges to Christianity. In addition to students, this book will appeal to readers of apologetics. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Proofs of God: Classical Arguments from Tertullian to Barth"" src=""../../media/cache/f6/cb/f6cb2300a1235a344f1c11b2be9a605d.jpg""/>"
"('http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html',)","(<tr>
<th>UPC</th><td>0cf57cb49272fd37</td>
</tr>,)","(<title>
    Kierkegaard: A Christian Missionary to Christians | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£47.13</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£47.13</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (8 available)</td>
</tr>,)","<meta content=""
    Soren Kierkegaard (1813-1855) had a mission. The church had become weak, flabby and inconsequential. Being a Christian was more a cultural heritage than a spiritual reality. His mission reintroduce the Christian faith to Christians. How could he break through to people who were members of the church and thought they were Christians already? Like an Old Testament prophet, K Soren Kierkegaard (1813-1855) had a mission. The church had become weak, flabby and inconsequential. Being a Christian was more a cultural heritage than a spiritual reality. His mission reintroduce the Christian faith to Christians. How could he break through to people who were members of the church and thought they were Christians already? Like an Old Testament prophet, Kierkegaard used a variety of pointed and dramatic ways to shake people from their slumber. He incisively diagnosed the spiritual ailments of his age and offered a fresh take on classic Christian teaching. Mark Tietjen thinks that Kierkegaard's critique of his contemporaries strikes close to home today. We also need to listen to one of the most insightful yet complex Christian thinkers of any era. Through an examination of core Christian doctrines the person of Jesus Christ, human nature, Christian witness and love Tietjen helps us hear Kierkegaard's missionary message to a church that often fails to follow Christ with purity of heart.&quot; ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/kierkegaard-a-christian-missionary-to-christians_527/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/kierkegaard-a-christian-missionary-to-christians_527/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Kierkegaard: A Christian Missionary to Christians"" src=""../../media/cache/bf/90/bf90ad2c3cab628096db8fca010797b4.jpg""/>"
"('http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html',)","(<tr>
<th>UPC</th><td>6b52904b2ab91bf6</td>
</tr>,)","(<title>
    At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£29.93</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£29.93</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (7 available)</td>
</tr>,)","<meta content=""
    Paris, near the turn of 1933. Three young friends meet over apricot cocktails at the Bec-de-Gaz bar on the rue Montparnasse. They are Jean-Paul Sartre, Simone de Beauvoir and their friend Raymond Aron, who opens their eyes to a radical new way of thinking. Pointing to his drink, he says, 'You can make philosophy out of this cocktail!'From this moment of inspiration, Sartre Paris, near the turn of 1933. Three young friends meet over apricot cocktails at the Bec-de-Gaz bar on the rue Montparnasse. They are Jean-Paul Sartre, Simone de Beauvoir and their friend Raymond Aron, who opens their eyes to a radical new way of thinking. Pointing to his drink, he says, 'You can make philosophy out of this cocktail!'From this moment of inspiration, Sartre will create his own extraordinary philosophy of real, experienced life – of love and desire, of freedom and being, of cafés and waiters, of friendships and revolutionary fervour. It is a philosophy that will enthral Paris and sweep through the world, leaving its mark on post-war liberation movements, from the student uprisings of 1968 to civil rights pioneers.At the Existentialist Café tells the story of modern existentialism as one of passionate encounters between people, minds and ideas. From the ‘king and queen of existentialism' – Sartre and de Beauvoir – to their wider circle of friends and adversaries including Albert Camus, Martin Heidegger, Maurice Merleau-Ponty and Iris Murdoch, this book is an enjoyable and original journey through a captivating intellectual movement. Weaving biography and thought, Sarah Bakewell takes us to the heart of a philosophy about life that also changed lives, and that tackled the biggest questions of all: what we are and how we are to live. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating Five"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others"" src=""../../media/cache/ce/da/ceda6d577d0609261f997bd99872013b.jpg""/>"
"('http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html',)","(<tr>
<th>UPC</th><td>429b4a811bef386c</td>
</tr>,)","(<title>
    Critique of Pure Reason | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£20.75</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£20.75</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (5 available)</td>
</tr>,)","<meta content=""
    This entirely new translation of Critique of Pure Reason is the most accurate and informative English translation ever produced of this epochal philosophical text. Though its simple, direct style will make it suitable for all new readers of Kant, the translation displays a philosophical and textual sophistication that will enlighten Kant scholars as well. This translation This entirely new translation of Critique of Pure Reason is the most accurate and informative English translation ever produced of this epochal philosophical text. Though its simple, direct style will make it suitable for all new readers of Kant, the translation displays a philosophical and textual sophistication that will enlighten Kant scholars as well. This translation recreates as far as possible a text with the same interpretative nuances and richness as the original.This translation of Kant's Critique is a superb volume that forms the heart of Cambridge's excellent series of translations of Kant's works. Because of the quality of the translation, but also because of the various supplementary materials which it provides...it will very likely replace Norman Kemp Smith's translation as the standard edition for scholars. It is difficult to imagine that anyone would be able to improve on this volume in the foreseeable future. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/critique-of-pure-reason_366/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/critique-of-pure-reason_366/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Critique of Pure Reason"" src=""../../media/cache/3b/28/3b28ec3663a81d36272a08e5a49644f2.jpg""/>"
"('http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html',)","(<tr>
<th>UPC</th><td>b0e479be03911916</td>
</tr>,)","(<title>
    Run, Spot, Run: The Ethics of Keeping Pets | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£20.02</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£20.02</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (2 available)</td>
</tr>,)","<meta content=""
    A life shared with pets brings many emotions. We feel love for our companions, certainly, and happiness at the thought that we’re providing them with a safe, healthy life. But there’s another emotion, less often acknowledged, that can be nearly as powerful: guilt. When we see our cats gazing wistfully out the window, or watch a goldfish swim lazy circles in a bowl, we can’ A life shared with pets brings many emotions. We feel love for our companions, certainly, and happiness at the thought that we’re providing them with a safe, healthy life. But there’s another emotion, less often acknowledged, that can be nearly as powerful: guilt. When we see our cats gazing wistfully out the window, or watch a goldfish swim lazy circles in a bowl, we can’t help but wonder: are we doing the right thing, keeping these independent beings locked up, subject to our control? Is keeping pets actually good for the pets themselves?   That’s the question that animates Jessica Pierce’s powerful Run, Spot, Run. A lover of pets herself (including, over the years, dogs, cats, fish, rats, hermit crabs, and more), Pierce understands the joys that pets bring us. But she also refuses to deny the ambiguous ethics at the heart of the relationship, and through a mix of personal stories, philosophical reflections, and scientifically informed analyses of animal behavior and natural history, she puts pet-keeping to the test. Is it ethical to keep pets at all? Are some species more suited to the relationship than others? Are there species one should never attempt to own? And are there ways that we can improve our pets’ lives, so that we can be confident that we are giving them as much as they give us?   Deeply empathetic, yet rigorous and unflinching in her thinking, Pierce has written a book that is sure to help any pet owner, unsettling assumptions but also giving them the knowledge to build deeper, better relationships with the animals with whom they’ve chosen to share their lives. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Run, Spot, Run: The Ethics of Keeping Pets"" src=""../../media/cache/8c/bf/8cbf4667b5798cb8195f1e126ddd6a5c.jpg""/>"
"('http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html',)","(<tr>
<th>UPC</th><td>5c10b64db3e4f228</td>
</tr>,)","(<title>
    The Nicomachean Ethics | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£36.34</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£36.34</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (1 available)</td>
</tr>,)","<meta content=""
    ‘One swallow does not make a summer; neither does one day. Similarly neither can one day, or a brief space of time, make a man blessed and happy’In the Nicomachean Ethics, Aristotle sets out to examine the nature of happiness. He argues that happiness consists in ‘activity of the soul in accordance with virtue’, for example with moral virtues, such as courage, generosity a ‘One swallow does not make a summer; neither does one day. Similarly neither can one day, or a brief space of time, make a man blessed and happy’In the Nicomachean Ethics, Aristotle sets out to examine the nature of happiness. He argues that happiness consists in ‘activity of the soul in accordance with virtue’, for example with moral virtues, such as courage, generosity and justice, and intellectual virtues, such as knowledge, wisdom and insight. The Ethics also discusses the nature of practical reasoning, the value and the objects of pleasure, the different forms of friendship, and the relationship between individual virtue, society and the State. Aristotle’s work has had a profound and lasting influence on all subsequent Western thought about ethical matters.J. A. K. Thomson’s translation has been revised by Hugh Tredennick, and is accompanied by a new introduction by Jonathan Barnes. This edition also includes an updated list for further reading and a new chronology of Aristotle’s life and works.Previously published as Ethics ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating One"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/the-nicomachean-ethics_75/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/the-nicomachean-ethics_75/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""The Nicomachean Ethics"" src=""../../media/cache/16/f4/16f4518319f7dcadc23d020279f78545.jpg""/>"
"('http://books.toscrape.com/catalogue/meditations_33/index.html',)","(<tr>
<th>UPC</th><td>4f19709e47883df5</td>
</tr>,)","(<title>
    Meditations | Books to Scrape - Sandbox
</title>,)","(<tr>
<th>Price (incl. tax)</th><td>£25.89</td>
</tr>,)","(<tr>
<th>Price (excl. tax)</th><td>£25.89</td>
</tr>,)","(<tr>
<th>Availability</th>
<td>In stock (1 available)</td>
</tr>,)","<meta content=""
    Written in Greek, without any intention of publication, by the only Roman emperor who was also a philosopher, the Meditations of Marcus Aurelius (AD 121-180) offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. Ranging from doubt and despair to conviction and ex Written in Greek, without any intention of publication, by the only Roman emperor who was also a philosopher, the Meditations of Marcus Aurelius (AD 121-180) offer a remarkable series of challenging spiritual reflections and exercises developed as the emperor struggled to understand himself and make sense of the universe. Ranging from doubt and despair to conviction and exaltation, they cover such diverse topics as the nature of moral virtue, human rationality, divine providence, and Marcus' own emotions. But while the Meditations were composed to provide personal consolation and encouragement, in developing his beliefs Marcus Aurelius also created one of the greatest of all works of philosophy: a timeless collection of extended meditations and short aphorisms that has been consulted and admired by statesmen, thinkers and readers through the centuries. ...more
"" name=""description""/>","(<li>
<a href=""../category/books/philosophy_7/index.html"">Philosophy</a>
</li>,)","(<p class=""star-rating Two"">
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<i class=""icon-star""></i>
<!-- <small><a href=""/catalogue/meditations_33/reviews/"">
        
                
                    0 customer reviews
                
        </a></small>
         --> 


<!-- 
    <a id=""write_review"" href=""/catalogue/meditations_33/reviews/add/#addreview"" class=""btn btn-success btn-sm"">
        Write a review
    </a>

 --></p>,)","<img alt=""Meditations"" src=""../../media/cache/90/f7/90f79652caecac36bc97bf7b769c8fc4.jpg""/>"
